topology,ranks,routing,hidden,backend,tokens_per_rank,useful_bytes,median_us,job_min_us,job_max_us,n_jobs,n_trials,stored_mean_us,useful_gbytes_per_s
1n2g,2,hotspot80,256,cuda_nccl,16384,33554432,459.476,454.29499999999996,462.2,5,15,459.10339999999997,73.02760535914825
1n2g,2,hotspot80,256,cuda_nvshmem,16384,33554432,428.30066666666664,427.673,429.234,5,15,428.3676,78.34317014060215
1n2g,2,hotspot80,256,oshmpi,16384,33554432,343.0203333333333,342.4943333333333,347.514,5,15,343.9123333333334,97.82053347663549
1n2g,2,hotspot80,256,sycl_mpi,16384,33554432,371.84,371.4773333333333,374.813,5,15,372.34680000000003,90.23889845094665
1n2g,2,hotspot80,256,sycl_oneccl,16384,33554432,493.50466666666665,489.6143333333333,500.214,5,15,494.36620000000005,67.9921270585756
2n1g,2,hotspot80,256,cuda_mpi,16384,33554432,1924.9366666666667,1517.16,2645.366666666667,5,15,2066.2033333333334,17.431447268394976
2n1g,2,hotspot80,256,cuda_nccl,16384,33554432,2369.2266666666665,2368.056666666667,2373.3766666666666,5,15,2370.366,14.162609459064
2n1g,2,hotspot80,256,cuda_nvshmem,16384,33554432,2439.883333333333,2439.6866666666665,2440.9900000000002,5,15,2440.1313333333333,13.752473957088112
2n1g,2,hotspot80,256,oshmpi,16384,33554432,2422.45,2239.67,3413.5966666666664,5,15,2555.114666666667,13.851444611859895
2n1g,2,hotspot80,256,sycl_mpi,16384,33554432,2067.8933333333334,1932.79,2527.9433333333336,5,15,2167.9306666666666,16.226384339617773
2n1g,2,hotspot80,256,sycl_oneccl,16384,33554432,2450.7433333333333,2446.153333333333,2455.9533333333334,5,15,2450.6793333333335,13.691532501023499
1n4g,4,hotspot80,256,cuda_mpi,16384,33554432,386.092,383.9433333333333,387.9816666666666,5,15,386.04086666666666,86.9078665188608
1n4g,4,hotspot80,256,cuda_nccl,16384,33554432,435.9923333333333,435.44533333333334,443.771,5,15,437.4408666666667,76.9610597128237
1n4g,4,hotspot80,256,cuda_nvshmem,16384,33554432,657.519,651.6413333333334,662.7383333333333,5,15,657.1594,51.03188196842981
1n4g,4,hotspot80,256,oshmpi,16384,33554432,385.547,385.4343333333333,386.09499999999997,5,15,385.6654,87.03071739632263
1n4g,4,hotspot80,256,sycl_mpi,16384,33554432,385.87966666666665,384.38233333333335,388.2676666666667,5,15,386.12946666666664,86.95568825860221
1n4g,4,hotspot80,256,sycl_oneccl,16384,33554432,524.0433333333333,490.59866666666665,524.9026666666666,5,15,517.4823333333333,64.02988048062184
2n4g,8,hotspot80,256,cuda_mpi,16384,33554432,5388.996666666667,5381.696666666667,5402.216666666667,5,15,5390.352666666668,6.22647109944399
2n4g,8,hotspot80,256,cuda_nccl,16384,33554432,5833.41,5822.216666666666,5904.38,5,15,5847.036666666667,5.752112743661083
