backend,topology,side,median_us,job_min_us,job_max_us,n_jobs,n_trials,stored_mean_us
cuda_nvshmem,2n4g,1024,90.35946666666666,90.35946666666666,90.35946666666666,1,3,90.35946666666666
cuda_nvshmem,4n4g,1024,152.21466666666666,152.21466666666666,152.21466666666666,1,3,152.21466666666666
cuda_nvshmem,8n4g,1024,295.248,295.248,295.248,1,3,295.248
cuda_nvshmem,1n1g,2048,98.71523333333333,98.71523333333333,98.71523333333333,1,3,98.71523333333334
cuda_nvshmem,1n2g,2048,85.83273333333334,85.83273333333334,85.83273333333334,1,3,85.83273333333334
cuda_nvshmem,1n4g,2048,92.4323,92.4323,92.4323,1,3,92.4323
cuda_nvshmem,2n1g,2048,104.22166666666666,104.22166666666666,104.22166666666666,1,3,104.22166666666665
cuda_nvshmem,2n4g,2048,102.67266666666667,102.67266666666667,102.67266666666667,1,3,102.67266666666667
cuda_nvshmem,4n4g,2048,156.07766666666666,156.07766666666666,156.07766666666666,1,3,156.07766666666666
cuda_nvshmem,8n4g,2048,249.062,249.062,249.062,1,3,249.062
cuda_nvshmem,1n1g,4096,261.2456666666667,261.2456666666667,261.2456666666667,1,3,261.2456666666667
cuda_nvshmem,1n2g,4096,170.68933333333334,170.68933333333334,170.68933333333334,1,3,170.68933333333334
cuda_nvshmem,1n4g,4096,130.75900000000001,130.75900000000001,130.75900000000001,1,3,130.75900000000001
cuda_nvshmem,2n1g,4096,192.131,192.131,192.131,1,3,192.131
cuda_nvshmem,2n4g,4096,125.95133333333334,125.95133333333334,125.95133333333334,1,3,125.95133333333335
cuda_nvshmem,4n4g,4096,184.74933333333334,184.74933333333334,184.74933333333334,1,3,184.74933333333334
cuda_nvshmem,8n4g,4096,294.93833333333333,294.93833333333333,294.93833333333333,1,3,294.93833333333333
cuda_nvshmem,1n1g,8192,911.1886666666667,911.1886666666667,911.1886666666667,1,3,911.1886666666666
cuda_nvshmem,1n2g,8192,494.57599999999996,494.57599999999996,494.57599999999996,1,3,494.576
cuda_nvshmem,1n4g,8192,294.70233333333334,294.70233333333334,294.70233333333334,1,3,294.70233333333334
cuda_nvshmem,2n1g,8192,516.06,516.06,516.06,1,3,516.0600000000001
cuda_nvshmem,2n4g,8192,212.836,212.836,212.836,1,3,212.836
cuda_nvshmem,4n4g,8192,238.19766666666666,238.19766666666666,238.19766666666666,1,3,238.19766666666666
cuda_nvshmem,8n4g,8192,346.91266666666667,346.91266666666667,346.91266666666667,1,3,346.91266666666667
cuda_nvshmem,1n1g,16384,3566.8633333333332,3566.8633333333332,3566.8633333333332,1,3,3566.8633333333332
cuda_nvshmem,1n2g,16384,1828.9333333333334,1828.9333333333334,1828.9333333333334,1,3,1828.9333333333334
cuda_nvshmem,1n4g,16384,958.572,958.572,958.572,1,3,958.572
cuda_nvshmem,2n1g,16384,1822.5900000000001,1822.5900000000001,1822.5900000000001,1,3,1822.5900000000001
cuda_nvshmem,2n4g,16384,538.568,538.568,538.568,1,3,538.568
cuda_nvshmem,4n4g,16384,397.34499999999997,397.34499999999997,397.34499999999997,1,3,397.34499999999997
cuda_nvshmem,8n4g,16384,507.97833333333335,507.97833333333335,507.97833333333335,1,3,507.9783333333333
cuda_nvshmem_device,1n1g,256,21.482666666666667,20.9167,22.214966666666665,3,9,21.53811111111111
cuda_nvshmem_device,1n2g,256,39.1747,38.88303333333334,39.52256666666667,3,9,39.19343333333333
cuda_nvshmem_device,1n4g,256,52.40996666666667,50.79626666666667,52.53006666666667,3,9,51.912099999999995
cuda_nvshmem_device,2n1g,256,56.0579,55.6954,56.8315,3,9,56.19493333333333
cuda_nvshmem_device,2n4g,256,93.39943333333333,93.32896666666667,93.40716666666667,3,9,93.37852222222222
cuda_nvshmem_device,4n4g,256,114.18333333333334,114.11033333333333,114.25633333333333,2,6,114.18333333333334
cuda_nvshmem_device,1n1g,512,26.458133333333333,25.905,27.071466666666666,3,9,26.4782
cuda_nvshmem_device,1n2g,512,38.803333333333335,38.458,40.064099999999996,3,9,39.10847777777778
cuda_nvshmem_device,1n4g,512,52.7177,51.847033333333336,52.75906666666667,3,9,52.44126666666667
cuda_nvshmem_device,2n1g,512,57.62923333333333,57.03223333333333,57.797599999999996,3,9,57.486355555555555
