benchmark,topology,backend,bytes,on_us,off_us,off_over_on
allreduce,2n1g,sycl_mpi,262144,42.5755333,218.184333,5.124641222051352
allreduce,2n1g,sycl_mpi,524288,62.5990667,363.362667,5.8046019877801145
allreduce,2n1g,sycl_mpi,1048576,98.5092333,690.735,7.011880783768114
allreduce,2n1g,sycl_mpi,2097152,168.281,3991.7,23.72044378153208
allreduce,2n1g,sycl_mpi,4194304,292.718,8236.88333,28.139312683196795
allreduce,2n1g,sycl_mpi,8388608,609.476,15565.9667,25.539917404458915
allreduce,2n1g,sycl_mpi,16777216,1151.51333,31366.1,27.239024666783493
allreduce,2n4g,cuda_mpi,4,32.5675333,25.2247667,0.7745372198636855
allreduce,2n4g,cuda_mpi,8,31.0945333,25.2540667,0.812170630005886
allreduce,2n4g,cuda_mpi,16,27.7559,25.3455333,0.9131584023576969
allreduce,2n4g,cuda_mpi,32,29.1493667,25.6160333,0.8787852430426902
allreduce,2n4g,cuda_mpi,64,29.7412,26.2340667,0.8820782853415464
allreduce,2n4g,cuda_mpi,128,29.2757667,28.5302333,0.9745341118598271
allreduce,2n4g,cuda_mpi,256,30.0233,27.3470333,0.9108603418012011
allreduce,2n4g,cuda_mpi,512,33.5828,28.0241667,0.8344797545171934
allreduce,2n4g,cuda_mpi,1024,40.8945333,33.4103,0.8169869492067293
allreduce,2n4g,cuda_mpi,2048,41.2583333,35.1866,0.8528361953971612
allreduce,2n4g,cuda_mpi,4096,72.8235333,39.1951,0.5382202458995491
allreduce,2n4g,cuda_mpi,8192,77.399,47.9746,0.6198348815876175
allreduce,2n4g,cuda_mpi,16384,79.0799333,57.1638,0.722861004234054
allreduce,2n4g,cuda_mpi,32768,80.5380667,71.7071667,0.8903512294019345
allreduce,2n4g,cuda_mpi,65536,83.8014333,101.932667,1.2163594700712594
allreduce,2n4g,cuda_mpi,131072,89.943,159.901667,1.777811135941652
allreduce,2n4g,cuda_mpi,262144,95.4865333,264.789667,2.7730577061383377
allreduce,2n4g,cuda_mpi,524288,115.254667,492.332,4.27168819116019
allreduce,2n4g,cuda_mpi,1048576,153.763667,869.944667,5.657673779333059
allreduce,2n4g,cuda_mpi,2097152,225.043,4955.37333,22.019673262443177
allreduce,2n4g,cuda_mpi,4194304,352.690667,9549.81333,27.077023078696893
allreduce,2n4g,cuda_mpi,8388608,632.089667,18835.3,29.79846212230519
allreduce,2n4g,cuda_mpi,16777216,1120.47,39622.2,35.36212482261907
allreduce,2n4g,sycl_mpi,4,32.8225333,25.7031667,0.7830951518906677
allreduce,2n4g,sycl_mpi,8,31.2653,25.5467667,0.8170964839614524
allreduce,2n4g,sycl_mpi,16,28.1682333,25.6987333,0.9123303199849598
allreduce,2n4g,sycl_mpi,32,29.5193,25.7892333,0.8736397306169184
allreduce,2n4g,sycl_mpi,64,29.7812667,26.0538333,0.8748396622095326
allreduce,2n4g,sycl_mpi,128,29.4717333,28.7759667,0.9763920705674953
allreduce,2n4g,sycl_mpi,256,30.2761667,49.2629667,1.627120341492901
allreduce,2n4g,sycl_mpi,512,33.9992667,38.9845667,1.1466296330444092
allreduce,2n4g,sycl_mpi,1024,41.0312667,33.4261667,0.8146511036180124
allreduce,2n4g,sycl_mpi,2048,41.0977333,35.2569667,0.85788105252997
allreduce,2n4g,sycl_mpi,4096,72.3515,39.2146667,0.5420021243512574
allreduce,2n4g,sycl_mpi,8192,77.3012667,48.2163333,0.6237457076495747
allreduce,2n4g,sycl_mpi,16384,78.5037,57.8874,0.7373843525846553
allreduce,2n4g,sycl_mpi,32768,80.644,70.9386667,0.8796521340707305
allreduce,2n4g,sycl_mpi,65536,83.5617,102.973,1.2322990077990275
allreduce,2n4g,sycl_mpi,131072,90.6435333,159.16,1.7558891870778386
allreduce,2n4g,sycl_mpi,262144,95.2960667,268.687667,2.8195042702638635
allreduce,2n4g,sycl_mpi,524288,115.343,467.051667,4.0492415404489215
allreduce,2n4g,sycl_mpi,1048576,152.876667,897.865,5.873133013816949
allreduce,2n4g,sycl_mpi,2097152,220.411333,4919.35333,22.318967282866527
allreduce,2n4g,sycl_mpi,4194304,350.699667,9442.06667,26.92351193478607
allreduce,2n4g,sycl_mpi,8388608,605.257667,18807.4333,31.07343256504341
allreduce,2n4g,sycl_mpi,16777216,1120.68,39359.6667,35.12123594603276
allreduce,4n4g,cuda_mpi,4,33.6945333,26.9904333,0.8010330061464301
allreduce,4n4g,cuda_mpi,8,32.1742667,26.7163,0.8303623591209929
allreduce,4n4g,cuda_mpi,16,28.8498667,27.1101,0.9396958496172185
allreduce,4n4g,cuda_mpi,32,31.0361667,27.3576333,0.8814759104899382
allreduce,4n4g,cuda_mpi,64,31.44,28.1427667,0.8951261673027989
allreduce,4n4g,cuda_mpi,128,31.941,31.1340333,0.9747357095895557
allreduce,4n4g,cuda_mpi,256,32.5204,30.1912333,0.9283782887049359
allreduce,4n4g,cuda_mpi,512,36.1525,30.6674,0.8482788188921927
allreduce,4n4g,cuda_mpi,1024,43.4122,38.9342333,0.896850039850549
allreduce,4n4g,cuda_mpi,2048,44.1993,41.3833,0.9362885837558513
allreduce,4n4g,cuda_mpi,4096,88.5319667,41.6662667,0.4706352773252015
allreduce,4n4g,cuda_mpi,8192,92.9168,53.3686667,0.5743704765984192
allreduce,4n4g,cuda_mpi,16384,97.9806333,68.1035333,0.6950713728444537
allreduce,4n4g,cuda_mpi,32768,100.926333,82.6847333,0.8192582732595665
allreduce,4n4g,cuda_mpi,65536,105.625333,116.126333,1.099417438049639
allreduce,4n4g,cuda_mpi,131072,114.127333,174.316,1.5273817009287338
allreduce,4n4g,cuda_mpi,262144,124.835667,285.905333,2.2902535779297755
allreduce,4n4g,cuda_mpi,524288,148.108667,510.463333,3.4465459945028063
